department,Environment,subscription_name,resource_identifier,resource_type,resource_location,consecutive_days,description, potential monthly savings ,,,,,,
turkiz,dev,turkiz-key-bladeforce-dev-001,sadabserver01_osdisk_1_815f3422defd49aa948cc91f528e4467,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'sadabserver01_osdisk_1_815f3422defd49aa948cc91f528e4467',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,luzonsplunkevent,disks,westeurope,13,not attached to a vm,  28 ,,,"'luzonsplunkevent',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,wb_disk_os,disks,westeurope,13,not attached to a vm,  28 ,,,"'wb_disk_os',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,amit-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'amit-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,dev,turkiz-starfish-paasmamram-dev-001,datacluster-f8mdw-dynamic-pvc-ac26fd2c-0917-405a-b385-52e2aeed1912,disks,westeurope,13,not attached to a vm,  28 ,,,"'datacluster-f8mdw-dynamic-pvc-ac26fd2c-0917-405a-b385-52e2aeed1912',",,,"'turkiz-starfish-paasmamram-dev-001',"
turkiz,dev,turkiz-key-bladeforce-dev-001,sadabserver1_osdisk_1_628f6d3ce5604fec8373a6f6b169dc09,disks,germanywestcentral,13,not attached to a vm,  28 ,,,"'sadabserver1_osdisk_1_628f6d3ce5604fec8373a6f6b169dc09',",,,"'turkiz-key-bladeforce-dev-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,vodinvastigationdisk,disks,westeurope,13,not attached to a vm,  28 ,,,"'vodinvastigationdisk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-ks-prod-vm1-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-ks-prod-vm1-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
turkiz,prd,turkiz-starfish-soc60-prd-001,miluim-app-prod-vm1-shared-disk,disks,westeurope,13,not attached to a vm,  28 ,,,"'miluim-app-prod-vm1-shared-disk',",,,"'turkiz-starfish-soc60-prd-001',"
olive,dev,olive-hina-maabedetmeamnim01-dev-001,idfitness_osdisk_1_13acbad7c9ba4bdba4cd50545b498ff8,disks,westeurope,13,not attached to a vm,  28 ,,,"'idfitness_osdisk_1_13acbad7c9ba4bdba4cd50545b498ff8',",,,"'olive-hina-maabedetmeamnim01-dev-001',"
