"SUB_NAME","ID","NAME","LOCATION","RESOURCEGROUP"
"Turkiz-Starfish-SeMcA-DEV-001","/subscriptions/0ebfc0df-1187-46cf-82df-8adfd78827b1/resourceGroups/CYBERARKPAS/providers/Microsoft.Compute/disks/vault_DataDisk_0","vault_DataDisk_0","eastus2","cyberarkpas"
"Turkiz-Starfish-PaaSMAM-DEV-001","/subscriptions/f08ce480-866e-40c4-acb0-dd44d2851c47/resourceGroups/ASAGROUP/providers/Microsoft.Compute/disks/delete-me_OsDisk_1_b6dfe8a5f43a4d068b1f3e314e89852b","delete-me_OsDisk_1_b6dfe8a5f43a4d068b1f3e314e89852b","centralus","asagroup"
"Turkiz-Starfish-MetaData-DEV-001","/subscriptions/e976f3f1-03d8-446b-8dd1-e2429b88885c/resourceGroups/ocp-blackedition-hcq4w-rg/providers/Microsoft.Compute/disks/ocp-blackedition-hcq4w-dynamic-pvc-1ce7e8c8-39d7-48e1-a495-30231c3ffe6a","ocp-blackedition-hcq4w-dynamic-pvc-1ce7e8c8-39d7-48e1-a495-30231c3ffe6a","northeurope","ocp-blackedition-hcq4w-rg"
"Turkiz-Starfish-MetaData-DEV-001","/subscriptions/e976f3f1-03d8-446b-8dd1-e2429b88885c/resourceGroups/ocp-blackedition-hcq4w-rg/providers/Microsoft.Compute/disks/ocp-blackedition-hcq4w-dynamic-pvc-62769912-cfa6-4aef-83a0-f60263f60c24","ocp-blackedition-hcq4w-dynamic-pvc-62769912-cfa6-4aef-83a0-f60263f60c24","northeurope","ocp-blackedition-hcq4w-rg"
"Turkiz-Starfish-MetaData-DEV-001","/subscriptions/e976f3f1-03d8-446b-8dd1-e2429b88885c/resourceGroups/ocp-blackedition-hcq4w-rg/providers/Microsoft.Compute/disks/ocp-blackedition-hcq4w-dynamic-pvc-72e3667c-05dc-40bc-95f3-c24a7948f4e9","ocp-blackedition-hcq4w-dynamic-pvc-72e3667c-05dc-40bc-95f3-c24a7948f4e9","northeurope","ocp-blackedition-hcq4w-rg"
"Turkiz-Starfish-MetaData-DEV-001","/subscriptions/e976f3f1-03d8-446b-8dd1-e2429b88885c/resourceGroups/ocp-blackedition-hcq4w-rg/providers/Microsoft.Compute/disks/ocp-blackedition-hcq4w-dynamic-pvc-d7e58857-d93b-4a8d-b6a6-df4f194b6750","ocp-blackedition-hcq4w-dynamic-pvc-d7e58857-d93b-4a8d-b6a6-df4f194b6750","northeurope","ocp-blackedition-hcq4w-rg"
"Turkiz-Starfish-MamPM-PRD-002","/subscriptions/74471886-88ed-427f-9a8c-370a5e81961b/resourceGroups/pm_resources/providers/Microsoft.Compute/disks/SupportDisk","SupportDisk","centralus","pm_resources"
"Turkiz-Starfish-MamPM-PRD-002","/subscriptions/74471886-88ed-427f-9a8c-370a5e81961b/resourceGroups/pm_resources/providers/Microsoft.Compute/disks/admatai","admatai","centralus","pm_resources"
"Turkiz-Starfish-MamPM-PRD-002","/subscriptions/74471886-88ed-427f-9a8c-370a5e81961b/resourceGroups/pm_resources/providers/Microsoft.Compute/disks/tempdisk","tempdisk","centralus","pm_resources"
"Turkiz-Starfish-MamPM-PRD-002","/subscriptions/74471886-88ed-427f-9a8c-370a5e81961b/resourceGroups/pm_resources/providers/Microsoft.Compute/disks/test2012_OsDisk_1_4cb902f1ef1c4a3b9dadf0581552d6a7","test2012_OsDisk_1_4cb902f1ef1c4a3b9dadf0581552d6a7","centralus","pm_resources"
"Turkiz-Starfish-MamPM-PRD-002","/subscriptions/74471886-88ed-427f-9a8c-370a5e81961b/resourceGroups/pm_resources/providers/Microsoft.Compute/disks/test2016_OsDisk_1_9085694484bb4321ade287dc236c37c5","test2016_OsDisk_1_9085694484bb4321ade287dc236c37c5","centralus","pm_resources"
"Turkiz-Starfish-Cloudlets-DEV-001","/subscriptions/d48b8cf0-9a34-49b3-9320-1cf1173c542a/resourceGroups/MGMT-SERVERS/providers/Microsoft.Compute/disks/ansible-master-omer_OsDisk_1_25a39c092871456abe20e5f1f5623e06","ansible-master-omer_OsDisk_1_25a39c092871456abe20e5f1f5623e06","centralus","mgmt-servers"
"Turkiz-Starfish-Cloudlets-DEV-001","/subscriptions/d48b8cf0-9a34-49b3-9320-1cf1173c542a/resourceGroups/MGMT-SERVERS/providers/Microsoft.Compute/disks/captain-resh_disk1_3ccd5b4546ea4c819f51a9f0b0bb382d","captain-resh_disk1_3ccd5b4546ea4c819f51a9f0b0bb382d","centralus","mgmt-servers"
"Turkiz-Starfish-Cloudlets-DEV-001","/subscriptions/d48b8cf0-9a34-49b3-9320-1cf1173c542a/resourceGroups/MGMT-SERVERS/providers/Microsoft.Compute/disks/omer-acm-test_OsDisk_1_4e4dff7118204e9d84012fe7a4bde1bd","omer-acm-test_OsDisk_1_4e4dff7118204e9d84012fe7a4bde1bd","centralus","mgmt-servers"
"Turkiz-Starfish-Cloudlets-DEV-001","/subscriptions/d48b8cf0-9a34-49b3-9320-1cf1173c542a/resourceGroups/MGMT-SERVERS/providers/Microsoft.Compute/disks/omerhel8_OsDisk_1_2965567fb3894bb2a9dae6283f371cff","omerhel8_OsDisk_1_2965567fb3894bb2a9dae6283f371cff","centralus","mgmt-servers"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/CLOUDERA-DEV/providers/Microsoft.Compute/disks/cloudera-dev3_OsDisk_1_0f2bf9d005284c1b99481fa516be10ca","cloudera-dev3_OsDisk_1_0f2bf9d005284c1b99481fa516be10ca","germanywestcentral","cloudera-dev"
"Turkiz-Key-BladeForce-DEV-001","/subscriptions/fbb704cd-4474-4038-a29f-71ae665560e8/resourceGroups/DEBUGTEST/providers/Microsoft.Compute/disks/November_OsDisk_1_408f9dfa11cb4e6ea844cbd3d240deeb","November_OsDisk_1_408f9dfa11cb4e6ea844cbd3d240deeb","francecentral","debugtest"
